"","Phage","Bacteria","Status"
"1","P2T3_WT_1","T3_1",0
"2","P2T3_WT_2","T3_1",1
"3","P2T3_WT_3","T3_1",0
"4","P2T3_C-F-_1","T3_1",0
"5","P2T3_C-F-_2","T3_1",0
"6","P2T3_C-F-_3","T3_1",1
"7","P2T3_L-F-_1","T3_1",1
"8","P2T3_L-F-_2","T3_1",1
"9","P2T3_L-F-_3","T3_1",1
"10","P2T6_WT_1","T3_1",1
"11","P2T6_WT_2","T3_1",1
"12","P2T6_WT_3","T3_1",1
"13","P2T6_C-F-_1","T3_1",1
"14","P2T6_C-F-_2","T3_1",1
"15","P2T6_C-F-_3","T3_1",1
"16","P2T6_L-F-_1","T3_1",1
"17","P2T6_L-F-_2","T3_1",1
"18","P2T6_L-F-_3","T3_1",1
"19","P2T9_WT_1","T3_1",1
"20","P2T9_WT_2","T3_1",1
"21","P2T9_WT_3","T3_1",1
"22","P2T9_C-F-_1","T3_1",1
"23","P2T9_C-F-_2","T3_1",1
"24","P2T9_C-F-_3","T3_1",1
"25","P2T9_L-F-_1","T3_1",1
"26","P2T9_L-F-_2","T3_1",1
"27","P2T9_L-F-_3","T3_1",1
"28","P2T9_L-C-_1","T3_1",1
"29","P2T9_L-C-_2","T3_1",1
"30","P2T9_L-C-_3","T3_1",1
"31","P2T12_WT_1","T3_1",1
"32","P2T12_WT_2","T3_1",1
"33","P2T12_WT_3","T3_1",1
"34","P2T12_C-F-_1","T3_1",1
"35","P2T12_C-F-_2","T3_1",1
"36","P2T12_L-F-_1","T3_1",1
"37","P2T12_L-F-_2","T3_1",1
"38","P2T12_L-F-_3","T3_1",1
"39","P2T12_L-C-_1","T3_1",1
"40","P2T12_L-C-_2","T3_1",1
"41","P2T12_L-C-_3","T3_1",1
"42","P2T15_WT_1","T3_1",1
"43","P2T15_WT_2","T3_1",1
"44","P2T15_WT_3","T3_1",1
"45","P2T15_C-F-_1","T3_1",1
"46","P2T15_C-F-_2","T3_1",1
"47","P2T15_C-F-_3","T3_1",1
"48","P2T15_L-F-_1","T3_1",1
"49","P2T15_L-F-_2","T3_1",1
"50","P2T15_L-F-_3","T3_1",1
"51","P2T15_L-C-_1","T3_1",1
"52","P2T15_L-C-_2","T3_1",1
"53","P2T15_L-C-_3","T3_1",1
"54","P2T18_WT_1","T3_1",1
"55","P2T18_WT_2","T3_1",1
"56","P2T18_WT_3","T3_1",1
"57","P2T18_C-F-_1","T3_1",1
"58","P2T18_C-F-_2","T3_1",1
"59","P2T18_C-F-_3","T3_1",1
"60","P2T18_L-C-_1","T3_1",1
"61","P2T18_L-C-_2","T3_1",1
"62","P2T18_L-C-_3","T3_1",1
"63","P2T21_WT_1","T3_1",1
"64","P2T21_WT_2","T3_1",1
"65","P2T21_WT_3","T3_1",1
"66","P2T21_C-F-_1","T3_1",1
"67","P2T21_C-F-_2","T3_1",1
"68","P2T21_C-F-_3","T3_1",1
"69","P2T21_L-F-_1","T3_1",1
"70","P2T21_L-F-_2","T3_1",1
"71","P2T21_L-F-_3","T3_1",1
"72","P2T21_L-C-_1","T3_1",1
"73","P2T21_L-C-_2","T3_1",1
"74","P2T21_L-C-_3","T3_1",1
"75","P2T24_WT_1","T3_1",1
"76","P2T24_WT_2","T3_1",1
"77","P2T24_WT_3","T3_1",1
"78","P2T24_C-F-_1","T3_1",1
"79","P2T24_C-F-_2","T3_1",1
"80","P2T24_C-F-_3","T3_1",1
"81","P2T24_L-C-_1","T3_1",1
"82","P2T24_L-C-_2","T3_1",1
"83","P2T24_L-C-_3","T3_1",1
"84","P2T3_WT_1","T3_2",1
"85","P2T3_WT_2","T3_2",1
"86","P2T3_WT_3","T3_2",1
"87","P2T3_C-F-_1","T3_2",1
"88","P2T3_C-F-_2","T3_2",1
"89","P2T3_C-F-_3","T3_2",1
"90","P2T3_L-F-_1","T3_2",1
"91","P2T3_L-F-_2","T3_2",1
"92","P2T3_L-F-_3","T3_2",1
"93","P2T6_WT_1","T3_2",1
"94","P2T6_WT_2","T3_2",1
"95","P2T6_WT_3","T3_2",1
"96","P2T6_C-F-_1","T3_2",1
"97","P2T6_C-F-_2","T3_2",1
"98","P2T6_C-F-_3","T3_2",1
"99","P2T6_L-F-_1","T3_2",1
"100","P2T6_L-F-_2","T3_2",1
"101","P2T6_L-F-_3","T3_2",1
"102","P2T9_WT_1","T3_2",1
"103","P2T9_WT_2","T3_2",1
"104","P2T9_WT_3","T3_2",1
"105","P2T9_C-F-_1","T3_2",1
"106","P2T9_C-F-_2","T3_2",1
"107","P2T9_C-F-_3","T3_2",1
"108","P2T9_L-F-_1","T3_2",1
"109","P2T9_L-F-_2","T3_2",1
"110","P2T9_L-F-_3","T3_2",1
"111","P2T9_L-C-_1","T3_2",1
"112","P2T9_L-C-_2","T3_2",1
"113","P2T9_L-C-_3","T3_2",1
"114","P2T12_WT_1","T3_2",1
"115","P2T12_WT_2","T3_2",1
"116","P2T12_WT_3","T3_2",1
"117","P2T12_C-F-_1","T3_2",1
"118","P2T12_C-F-_2","T3_2",1
"119","P2T12_L-F-_1","T3_2",1
"120","P2T12_L-F-_2","T3_2",1
"121","P2T12_L-F-_3","T3_2",1
"122","P2T12_L-C-_1","T3_2",1
"123","P2T12_L-C-_2","T3_2",1
"124","P2T12_L-C-_3","T3_2",1
"125","P2T15_WT_1","T3_2",1
"126","P2T15_WT_2","T3_2",1
"127","P2T15_WT_3","T3_2",1
"128","P2T15_C-F-_1","T3_2",1
"129","P2T15_C-F-_2","T3_2",1
"130","P2T15_C-F-_3","T3_2",1
"131","P2T15_L-F-_1","T3_2",1
"132","P2T15_L-F-_2","T3_2",1
"133","P2T15_L-F-_3","T3_2",1
"134","P2T15_L-C-_1","T3_2",1
"135","P2T15_L-C-_2","T3_2",1
"136","P2T15_L-C-_3","T3_2",1
"137","P2T18_WT_1","T3_2",1
"138","P2T18_WT_2","T3_2",1
"139","P2T18_WT_3","T3_2",1
"140","P2T18_C-F-_1","T3_2",1
"141","P2T18_C-F-_2","T3_2",1
"142","P2T18_C-F-_3","T3_2",1
"143","P2T18_L-C-_1","T3_2",1
"144","P2T18_L-C-_2","T3_2",1
"145","P2T18_L-C-_3","T3_2",1
"146","P2T21_WT_1","T3_2",1
"147","P2T21_WT_2","T3_2",1
"148","P2T21_WT_3","T3_2",1
"149","P2T21_C-F-_1","T3_2",1
"150","P2T21_C-F-_2","T3_2",1
"151","P2T21_C-F-_3","T3_2",1
"152","P2T21_L-F-_1","T3_2",1
"153","P2T21_L-F-_2","T3_2",1
"154","P2T21_L-F-_3","T3_2",1
"155","P2T21_L-C-_1","T3_2",1
"156","P2T21_L-C-_2","T3_2",1
"157","P2T21_L-C-_3","T3_2",1
"158","P2T24_WT_1","T3_2",1
"159","P2T24_WT_2","T3_2",1
"160","P2T24_WT_3","T3_2",1
"161","P2T24_C-F-_1","T3_2",1
"162","P2T24_C-F-_2","T3_2",1
"163","P2T24_C-F-_3","T3_2",1
"164","P2T24_L-C-_1","T3_2",1
"165","P2T24_L-C-_2","T3_2",1
"166","P2T24_L-C-_3","T3_2",1
"167","P2T3_WT_1","T3_3",1
"168","P2T3_WT_2","T3_3",1
"169","P2T3_WT_3","T3_3",1
"170","P2T3_C-F-_1","T3_3",1
"171","P2T3_C-F-_2","T3_3",0
"172","P2T3_C-F-_3","T3_3",0
"173","P2T3_L-F-_1","T3_3",1
"174","P2T3_L-F-_2","T3_3",1
"175","P2T3_L-F-_3","T3_3",1
"176","P2T6_WT_1","T3_3",1
"177","P2T6_WT_2","T3_3",1
"178","P2T6_WT_3","T3_3",1
"179","P2T6_C-F-_1","T3_3",1
"180","P2T6_C-F-_2","T3_3",1
"181","P2T6_C-F-_3","T3_3",1
"182","P2T6_L-F-_1","T3_3",1
"183","P2T6_L-F-_2","T3_3",1
"184","P2T6_L-F-_3","T3_3",1
"185","P2T9_WT_1","T3_3",1
"186","P2T9_WT_2","T3_3",1
"187","P2T9_WT_3","T3_3",1
"188","P2T9_C-F-_1","T3_3",1
"189","P2T9_C-F-_2","T3_3",1
"190","P2T9_C-F-_3","T3_3",1
"191","P2T9_L-F-_1","T3_3",1
"192","P2T9_L-F-_2","T3_3",1
"193","P2T9_L-F-_3","T3_3",1
"194","P2T9_L-C-_1","T3_3",1
"195","P2T9_L-C-_2","T3_3",1
"196","P2T9_L-C-_3","T3_3",1
"197","P2T12_WT_1","T3_3",1
"198","P2T12_WT_2","T3_3",1
"199","P2T12_WT_3","T3_3",1
"200","P2T12_C-F-_1","T3_3",1
"201","P2T12_C-F-_2","T3_3",1
"202","P2T12_L-F-_1","T3_3",1
"203","P2T12_L-F-_2","T3_3",1
"204","P2T12_L-F-_3","T3_3",1
"205","P2T12_L-C-_1","T3_3",1
"206","P2T12_L-C-_2","T3_3",1
"207","P2T12_L-C-_3","T3_3",1
"208","P2T15_WT_1","T3_3",1
"209","P2T15_WT_2","T3_3",1
"210","P2T15_WT_3","T3_3",1
"211","P2T15_C-F-_1","T3_3",1
"212","P2T15_C-F-_2","T3_3",1
"213","P2T15_C-F-_3","T3_3",1
"214","P2T15_L-F-_1","T3_3",1
"215","P2T15_L-F-_2","T3_3",1
"216","P2T15_L-F-_3","T3_3",1
"217","P2T15_L-C-_1","T3_3",1
"218","P2T15_L-C-_2","T3_3",1
"219","P2T15_L-C-_3","T3_3",1
"220","P2T18_WT_1","T3_3",1
"221","P2T18_WT_2","T3_3",1
"222","P2T18_WT_3","T3_3",1
"223","P2T18_C-F-_1","T3_3",1
"224","P2T18_C-F-_2","T3_3",1
"225","P2T18_C-F-_3","T3_3",1
"226","P2T18_L-C-_1","T3_3",1
"227","P2T18_L-C-_2","T3_3",1
"228","P2T18_L-C-_3","T3_3",1
"229","P2T21_WT_1","T3_3",1
"230","P2T21_WT_2","T3_3",1
"231","P2T21_WT_3","T3_3",1
"232","P2T21_C-F-_1","T3_3",1
"233","P2T21_C-F-_2","T3_3",1
"234","P2T21_C-F-_3","T3_3",1
"235","P2T21_L-F-_1","T3_3",1
"236","P2T21_L-F-_2","T3_3",1
"237","P2T21_L-F-_3","T3_3",1
"238","P2T21_L-C-_1","T3_3",1
"239","P2T21_L-C-_2","T3_3",1
"240","P2T21_L-C-_3","T3_3",1
"241","P2T24_WT_1","T3_3",1
"242","P2T24_WT_2","T3_3",1
"243","P2T24_WT_3","T3_3",1
"244","P2T24_C-F-_1","T3_3",1
"245","P2T24_C-F-_2","T3_3",1
"246","P2T24_C-F-_3","T3_3",1
"247","P2T24_L-C-_1","T3_3",1
"248","P2T24_L-C-_2","T3_3",1
"249","P2T24_L-C-_3","T3_3",1
"250","P2T3_WT_1","T3_4",1
"251","P2T3_WT_2","T3_4",1
"252","P2T3_WT_3","T3_4",1
"253","P2T3_C-F-_1","T3_4",1
"254","P2T3_C-F-_2","T3_4",1
"255","P2T3_C-F-_3","T3_4",1
"256","P2T3_L-F-_1","T3_4",1
"257","P2T3_L-F-_2","T3_4",1
"258","P2T3_L-F-_3","T3_4",1
"259","P2T6_WT_1","T3_4",1
"260","P2T6_WT_2","T3_4",1
"261","P2T6_WT_3","T3_4",1
